Region,Post-Lockdown,Pre-COVID,Increase
Puducherry,57.7,1.593,56.107
Jharkhand,44.89666666666667,14.279500000000002,30.617166666666666
Tamil Nadu,31.735,2.8365,28.8985
Bihar,36.98833333333334,13.832999999999998,23.15533333333334
Karnataka,19.155,3.2344999999999997,15.9205
Haryana,37.693333333333335,22.935499999999998,14.757833333333338
Telangana,18.635,4.656000000000001,13.979000000000001
Kerala,20.938333333333333,6.9925,13.945833333333333
Madhya Pradesh,17.761666666666667,4.7410000000000005,13.020666666666667
Andhra Pradesh,15.778333333333334,5.0375,10.740833333333335
